Department,Project_Name,Scope_Of_Work,PM_Department,Project_Status,Neighborhood,Authorization_Existing,Authorization_FY,Authorization_Future, Grant_Existing , Grant_FY , Grant_Future ,GO_Expended,Capital_Year_0, CapitalYear_1 ,Capital_Year_25,Grant_Expended,Grant_Year_0, Grant_Year_1 ,GrantYear_25,External_Funds,Total_Project_Budget
Public Health Commission,Hyde Park Health Center Study,Programing and siting study for a Hyde Park area community health center.,Public Facilities Department,To Be Scheduled,Hyde Park,0,0,2000000,0,0,0,0,0,0,2000000,0,0,0,0,0,2000000
Boston Public Schools,HVAC Repairs at Various Schools,HVAC repairs and upgrades at various schools.,Boston Public Schools,To Be Scheduled,Citywide,10000000,0,0,0,0,0,0,200000,550000,9250000,0,0,0,0,0,10000000
Fire Department,HVAC Repairs at Various Fire Stations,HVAC repairs and upgrades at various fire stations.,Public Facilities Department,Annual Program,Citywide,910000,0,0,0,0,0,0,0,350000,560000,0,0,0,0,0,910000
Boston Public Schools,Baldwin School Masonry Repairs,Repair masonry at the school.,Boston Public Schools,In Construction,Allston/Brighton,1297900,0,0,0,0,0,0,1297900,0,0,0,0,0,0,0,1297900
Boston Public Schools,Henderson Inclusion Lower School Yard,Design and construct improvements to the school yard.,Boston Public Schools,In Construction,Dorchester,1285000,0,0,0,0,0,0,1285000,0,0,0,0,0,0,0,1285000
Boston Public Schools,Winship School Yard,Design and construct improvements to the school yard.,Boston Public Schools,In Construction,Allston/Brighton,1490000,0,0,0,0,0,0,1490000,0,0,0,0,0,0,0,1490000
Boston Public Schools,Warren Prescott School Yard,Design and construct improvements to the school yard.,Boston Public Schools,In Construction,Charlestown,1195000,0,0,0,0,0,0,1195000,0,0,0,0,0,0,0,1195000
Parks and Recreation Department,Boston Common Frog Pond,Improvements to the Frog Pond at Boston Common.,Parks and Recreation Department,Study Underway,Beacon Hill,0,0,0,250000,0,0,0,0,0,0,0,0,0,250000,0,250000
Transportation Department,Dorchester Greenway,"Plan and design a linear park through Dorchester near the covered portion of the MBTA Red Line, supported with MassTrails grant.",Transportation Department,Study Underway,Dorchester,368250,0,0,0,0,0,0,25000,200000,143250,0,0,0,0,0,368250
Boston Public Schools,Madison Park Fire Pumps,Replace the fire pumps at Madison Park Technical Vocational High School.,Public Facilities Department,In Construction,Roxbury,2765000,0,0,0,0,0,0,1659000,1106000,0,0,0,0,0,0,2765000
